Vognnr;vogntype;hverdage;weekend;Helligdage;pause;lukkeuger;lukkedage
2502;2;600-1530;600-1530;600-1530;30;7+28+29+30+42;11
2503;2;600-1530;0;0;30;7+28+29+30+42;11
2504;2;700-1630;0;700-1630;30;7+28+29+30+42;11
2505;2;700-1630;0;0;30;7+28+29+30+42;11
2506;2;700-1630;0;0;30;7+29+30+42;11
2558;6;900-1830;900-1830;900-1830;30;28+29+30;7
4000;6;730-1530;1000-1700;1000-1700;30;;
2554;2;1430-2300;1430-2300;0;30;7+29+30+31+42;11
18;2;700-1100+1300-1800;700-1100+1300-1800;700-1100+1300-1800;30;28+29+30+31+32;
